unit number,time in cycles,operational setting 1,operational setting 2,operational setting 3,sensor measurement 1,sensor measurement 2,sensor measurement 3,sensor measurement 4,sensor measurement 5,sensor measurement 6,sensor measurement 7,sensor measurement 8,sensor measurement 9,sensor measurement 10,sensor measurement 11,sensor measurement 12,sensor measurement 13,sensor measurement 14,sensor measurement 15,sensor measurement 16,sensor measurement 17,sensor measurement 18,sensor measurement 19,sensor measurement 20,sensor measurement 21
10,1,-0.0014,0.0004,100.0,518.67,641.92,1587.93,1392.20,14.62,21.61,554.37,2388.00,9051.46,1.30,47.05,522.54,2388.01,8137.61,8.4039,0.03,391,2388,100.00,39.04,23.5309
10,2,0.0009,0.0005,100.0,518.67,642.22,1586.81,1392.03,14.62,21.61,554.76,2388.06,9057.03,1.30,47.20,523.04,2388.04,8142.57,8.3868,0.03,390,2388,100.00,39.05,23.3106
11,1,0.0005,-0.0003,100.0,518.67,642.20,1585.65,1395.39,14.62,21.61,554.78,2388.05,9051.83,1.30,47.13,522.29,2387.97,8135.27,8.3935,0.03,392,2388,100.00,39.03,23.4919
11,2,0.0001,-0.0005,100.0,518.67,641.81,1585.63,1389.78,14.62,21.60,554.63,2388.01,9058.18,1.30,47.18,522.33,2388.04,8138.28,8.3643,0.03,391,2388,100.00,39.12,23.4647
12,1,0.0017,0.0003,100.0,518.67,642.39,1586.10,1402.11,14.62,21.61,554.10,2388.06,9052.13,1.30,47.54,520.94,2388.09,8130.76,8.4214,0.03,394,2388,100.00,38.78,23.2348
12,2,-0.0004,0.0004,100.0,518.67,642.43,1592.56,1406.54,14.62,21.61,553.17,2388.11,9042.55,1.30,47.50,521.81,2388.12,8125.37,8.4005,0.03,393,2388,100.00,38.95,23.3202
13,1,-0.0010,-0.0002,100.0,518.67,641.94,1594.32,1405.50,14.62,21.61,554.14,2388.07,9051.55,1.30,47.46,520.87,2388.11,8131.99,8.4393,0.03,392,2388,100.00,38.76,23.3793
13,2,0.0039,-0.0000,100.0,518.67,642.61,1592.31,1406.78,14.62,21.61,553.08,2388.11,9053.39,1.30,47.50,521.45,2388.08,8135.24,8.4325,0.03,393,2388,100.00,38.97,23.2731
14,1,0.0031,0.0005,100.0,518.67,642.88,1587.54,1403.23,14.62,21.61,552.82,2388.09,9058.57,1.30,47.46,521.60,2388.09,8137.36,8.4549,0.03,392,2388,100.00,38.80,23.2687
14,2,-0.0013,-0.0000,100.0,518.67,642.88,1590.81,1411.67,14.62,21.61,553.85,2388.11,9055.07,1.30,47.43,521.44,2388.07,8141.56,8.4449,0.03,393,2388,100.00,38.91,23.3892
15,1,-0.0018,-0.0004,100.0,518.67,642.00,1576.75,1394.77,14.62,21.61,554.97,2388.02,9055.94,1.30,46.98,522.88,2388.00,8142.23,8.4102,0.03,391,2388,100.00,38.87,23.3903
15,2,0.0004,0.0004,100.0,518.67,642.14,1588.84,1394.27,14.62,21.61,554.18,2387.98,9066.05,1.30,47.08,522.82,2388.05,8142.66,8.4101,0.03,392,2388,100.00,39.12,23.4014
16,1,0.0004,0.0002,100.0,518.67,642.90,1583.42,1411.32,14.62,21.61,552.96,2388.11,9056.38,1.30,47.41,520.82,2388.11,8136.24,8.4573,0.03,392,2388,100.00,38.84,23.2792
16,2,0.0006,0.0003,100.0,518.67,642.43,1593.21,1399.44,14.62,21.61,553.49,2388.15,9054.60,1.30,47.56,521.27,2388.11,8134.39,8.4102,0.03,393,2388,100.00,38.96,23.3185
17,1,-0.0032,0.0005,100.0,518.67,641.45,1587.52,1401.29,14.62,21.61,555.25,2388.03,9067.87,1.30,47.25,522.19,2387.98,8146.09,8.3859,0.03,392,2388,100.00,39.21,23.5279
17,2,0.0008,0.0005,100.0,518.67,642.13,1589.83,1399.55,14.62,21.61,554.30,2388.06,9062.08,1.30,47.34,522.07,2387.95,8139.76,8.4125,0.03,389,2388,100.00,39.17,23.4691
18,1,-0.0016,0.0005,100.0,518.67,642.49,1582.95,1401.60,14.62,21.61,554.59,2387.95,9061.30,1.30,47.19,521.41,2387.99,8142.80,8.3861,0.03,393,2388,100.00,39.06,23.4234
18,2,-0.0006,0.0004,100.0,518.67,642.21,1589.39,1397.98,14.62,21.61,554.17,2388.01,9060.63,1.30,47.29,522.50,2388.01,8137.05,8.3788,0.03,391,2388,100.00,39.04,23.5772
19,1,0.0045,-0.0000,100.0,518.67,642.55,1589.99,1411.09,14.62,21.61,553.09,2388.17,9048.73,1.30,47.64,521.86,2388.07,8122.16,8.4148,0.03,392,2388,100.00,38.76,23.2468
19,2,-0.0010,0.0001,100.0,518.67,642.82,1587.77,1411.04,14.62,21.61,553.05,2388.10,9040.04,1.30,47.46,521.31,2388.14,8123.07,8.4086,0.03,392,2388,100.00,38.83,23.2836
20,1,0.0023,0.0002,100.0,518.67,643.00,1589.87,1404.30,14.62,21.61,553.44,2388.10,9063.70,1.30,47.56,521.93,2388.02,8136.61,8.4498,0.03,391,2388,100.00,38.88,23.2767
20,2,0.0002,0.0000,100.0,518.67,642.72,1588.75,1406.60,14.62,21.61,553.77,2388.13,9055.40,1.30,47.67,520.66,2388.06,8136.47,8.4217,0.03,393,2388,100.00,38.79,23.2626
21,1,-0.0017,-0.0005,100.0,518.67,642.24,1582.88,1410.66,14.62,21.61,553.57,2388.07,9047.42,1.30,47.44,521.76,2388.06,8128.48,8.4181,0.03,395,2388,100.00,38.90,23.3554
21,2,-0.0013,0.0004,100.0,518.67,642.27,1582.13,1404.54,14.62,21.61,553.22,2388.03,9043.88,1.30,47.25,521.39,2388.05,8120.15,8.3895,0.03,392,2388,100.00,38.81,23.2300
22,1,-0.0000,-0.0003,100.0,518.67,642.68,1595.65,1408.51,14.62,21.61,553.04,2388.09,9048.21,1.30,47.46,521.07,2388.16,8127.45,8.4425,0.03,393,2388,100.00,38.96,23.3081
22,2,0.0022,0.0001,100.0,518.67,642.59,1590.88,1411.44,14.62,21.61,552.92,2388.16,9044.01,1.30,47.65,521.14,2388.15,8131.18,8.4395,0.03,393,2388,100.00,38.71,23.4163
23,1,0.0027,0.0005,100.0,518.67,641.98,1591.38,1408.80,14.62,21.61,553.33,2388.12,9049.85,1.30,47.54,521.78,2388.10,8131.29,8.4069,0.03,394,2388,100.00,38.79,23.2717
23,2,0.0002,0.0001,100.0,518.67,642.36,1592.51,1413.03,14.62,21.61,553.62,2388.10,9055.75,1.30,47.47,521.45,2388.06,8128.77,8.4202,0.03,395,2388,100.00,38.81,23.3020
24,1,0.0008,-0.0004,100.0,518.67,642.17,1587.90,1403.12,14.62,21.61,554.00,2388.07,9066.64,1.30,47.10,522.08,2388.00,8146.09,8.4030,0.03,391,2388,100.00,39.08,23.3594
24,2,0.0017,0.0001,100.0,518.67,642.00,1583.50,1394.49,14.62,21.61,554.09,2387.96,9059.99,1.30,47.17,522.26,2388.03,8144.87,8.4018,0.03,392,2388,100.00,38.93,23.5059
25,1,-0.0021,-0.0004,100.0,518.67,642.85,1586.83,1403.72,14.62,21.61,553.81,2388.10,9044.91,1.30,47.51,521.04,2388.15,8126.14,8.4320,0.03,392,2388,100.00,38.98,23.4472
25,2,-0.0003,0.0005,100.0,518.67,642.01,1585.04,1408.44,14.62,21.61,552.88,2388.11,9050.68,1.30,47.37,521.78,2388.11,8128.11,8.4518,0.03,394,2388,100.00,38.80,23.2932
26,1,0.0002,-0.0002,100.0,518.67,642.50,1591.55,1411.43,14.62,21.61,552.93,2388.14,9041.19,1.30,47.56,521.53,2388.13,8126.96,8.4322,0.03,393,2388,100.00,38.82,23.3124
26,2,-0.0006,0.0000,100.0,518.67,642.41,1589.84,1405.51,14.62,21.61,553.11,2388.13,9041.49,1.30,47.44,521.09,2388.14,8125.07,8.4626,0.03,392,2388,100.00,38.76,23.2642
27,1,0.0004,-0.0000,100.0,518.67,642.41,1592.81,1403.33,14.62,21.61,554.08,2388.08,9053.27,1.30,47.61,521.21,2388.06,8144.58,8.4088,0.03,391,2388,100.00,38.74,23.3425
27,2,-0.0026,-0.0003,100.0,518.67,642.60,1590.48,1404.96,14.62,21.61,554.39,2388.02,9062.24,1.30,47.40,521.95,2388.11,8138.82,8.4346,0.03,395,2388,100.00,39.04,23.4075
28,1,-0.0003,-0.0001,100.0,518.67,642.14,1584.11,1392.44,14.62,21.61,554.84,2387.99,9068.32,1.30,47.14,522.67,2388.00,8145.82,8.3899,0.03,391,2388,100.00,39.18,23.3642
28,2,-0.0002,0.0003,100.0,518.67,642.41,1583.78,1391.70,14.62,21.61,555.39,2387.99,9056.19,1.30,47.05,522.75,2387.98,8143.47,8.3977,0.03,391,2388,100.00,39.22,23.4739
29,1,0.0042,-0.0000,100.0,518.67,642.85,1590.52,1408.46,14.62,21.61,554.41,2388.04,9055.13,1.30,47.40,521.92,2388.02,8143.80,8.4185,0.03,393,2388,100.00,39.09,23.3381
29,2,0.0011,0.0004,100.0,518.67,642.27,1592.43,1408.53,14.62,21.61,553.71,2388.03,9060.30,1.30,47.27,521.77,2388.05,8140.58,8.4272,0.03,392,2388,100.00,38.84,23.3350
30,1,-0.0003,-0.0003,100.0,518.67,642.18,1587.39,1392.46,14.62,21.61,554.09,2387.99,9065.62,1.30,47.07,522.61,2387.95,8148.76,8.4058,0.03,392,2388,100.00,39.17,23.3801
30,2,-0.0040,0.0001,100.0,518.67,641.81,1588.45,1406.94,14.62,21.61,554.98,2388.03,9062.08,1.30,47.20,522.17,2387.98,8143.72,8.3837,0.03,392,2388,100.00,39.34,23.5081
31,1,-0.0009,-0.0000,100.0,518.67,642.32,1582.38,1393.03,14.62,21.61,554.79,2388.05,9058.68,1.30,47.19,522.25,2387.99,8138.73,8.4135,0.03,392,2388,100.00,39.02,23.4287
31,2,-0.0005,-0.0003,100.0,518.67,642.49,1584.07,1394.01,14.62,21.61,554.15,2388.02,9059.34,1.30,47.31,522.46,2388.02,8140.24,8.3995,0.03,393,2388,100.00,39.01,23.4805
32,1,0.0002,0.0005,100.0,518.67,643.03,1588.85,1405.90,14.62,21.61,553.38,2388.17,9047.84,1.30,47.68,521.08,2388.14,8124.43,8.4717,0.03,393,2388,100.00,38.79,23.3229
32,2,-0.0031,0.0001,100.0,518.67,642.69,1587.64,1402.80,14.62,21.61,553.45,2388.09,9055.53,1.30,47.61,521.68,2388.15,8131.61,8.4412,0.03,394,2388,100.00,38.79,23.3710
33,1,-0.0021,0.0003,100.0,518.67,642.24,1584.98,1396.83,14.62,21.61,554.03,2388.01,9057.65,1.30,47.21,522.49,2388.03,8145.03,8.3918,0.03,390,2388,100.00,38.90,23.5107
33,2,0.0040,0.0004,100.0,518.67,642.24,1584.36,1395.22,14.62,21.60,554.72,2388.04,9065.40,1.30,47.22,523.16,2387.99,8138.39,8.3998,0.03,391,2388,100.00,38.96,23.2986
34,1,0.0035,-0.0002,100.0,518.67,642.44,1586.84,1407.90,14.62,21.61,553.56,2388.07,9058.32,1.30,47.33,521.54,2388.07,8143.40,8.4248,0.03,392,2388,100.00,38.76,23.2420
34,2,-0.0020,-0.0001,100.0,518.67,642.16,1585.43,1404.51,14.62,21.61,553.62,2388.12,9063.24,1.30,47.14,521.20,2387.99,8143.09,8.3995,0.03,394,2388,100.00,38.80,23.2772
35,1,-0.0008,0.0004,100.0,518.67,642.25,1589.50,1401.87,14.62,21.61,553.94,2388.06,9061.40,1.30,47.45,521.22,2388.05,8138.20,8.4282,0.03,392,2388,100.00,38.83,23.3682
35,2,-0.0044,0.0000,100.0,518.67,642.49,1589.83,1406.99,14.62,21.61,553.99,2388.05,9059.03,1.30,47.33,521.51,2388.06,8137.11,8.4087,0.03,393,2388,100.00,38.77,23.3206
36,1,0.0007,-0.0004,100.0,518.67,642.95,1592.01,1407.56,14.62,21.61,553.39,2388.08,9053.52,1.30,47.29,521.38,2388.09,8140.18,8.4318,0.03,393,2388,100.00,38.92,23.3887
36,2,0.0017,0.0003,100.0,518.67,642.79,1584.77,1402.96,14.62,21.61,553.06,2388.13,9064.98,1.30,47.60,521.72,2388.06,8137.54,8.4328,0.03,395,2388,100.00,38.83,23.342
37,1,0.0035,0.0001,100.0,518.67,642.50,1586.54,1404.33,14.62,21.61,553.48,2388.04,9045.66,1.30,47.35,521.50,2388.09,8127.28,8.4529,0.03,392,2388,100.00,39.11,23.4308
37,2,-0.0017,0.0001,100.0,518.67,642.92,1588.48,1405.62,14.62,21.61,553.60,2388.07,9048.59,1.30,47.43,521.95,2388.09,8126.10,8.3788,0.03,392,2388,100.00,38.86,23.3651
38,1,-0.0011,-0.0004,100.0,518.67,642.25,1589.30,1409.25,14.62,21.61,553.83,2388.03,9050.25,1.30,47.49,521.34,2388.10,8122.88,8.4875,0.03,393,2388,100.00,38.95,23.2628
38,2,-0.0009,-0.0002,100.0,518.67,642.42,1586.56,1402.84,14.62,21.61,554.13,2388.12,9044.49,1.30,47.34,521.60,2388.11,8129.18,8.4099,0.03,393,2388,100.00,38.90,23.3776
39,1,-0.0004,-0.0002,100.0,518.67,642.72,1592.37,1410.00,14.62,21.61,552.82,2388.12,9043.49,1.30,47.64,521.78,2388.10,8133.27,8.4451,0.03,392,2388,100.00,38.90,23.2947
39,2,-0.0062,0.0002,100.0,518.67,642.61,1586.25,1407.99,14.62,21.61,553.25,2388.10,9049.07,1.30,47.60,521.56,2388.10,8126.00,8.4279,0.03,395,2388,100.00,38.82,23.4604
40,1,0.0012,0.0000,100.0,518.67,642.71,1594.14,1412.72,14.62,21.61,552.90,2388.08,9051.76,1.30,47.59,521.25,2388.07,8134.87,8.4417,0.03,394,2388,100.00,38.61,23.2017
40,2,0.0015,0.0001,100.0,518.67,642.91,1585.97,1414.86,14.62,21.61,553.02,2388.13,9058.39,1.30,47.55,521.29,2388.14,8137.99,8.4227,0.03,392,2388,100.00,38.63,23.3334
